PacketTime,X,Y,NormalPressure,DeltaT,DistJump,Velocity,PressurePrev,PressureCurr,Trial,segment_id,segment_label,letter_id,letter_label
96636658,7572,25539,0,5.0,0.0,0.0,0.0,0,0,-1,,-1,
96636663,7549,25530,0,5.0,24.698178070456937,4939.635614091388,0.0,0,0,-1,,-1,
96636668,7504,25526,0,5.0,45.17742799230607,9035.485598461215,0.0,0,0,-1,,-1,
96636673,7489,25521,0,5.0,15.811388300841896,3162.277660168379,0.0,0,0,-1,,-1,
96636678,7415,25514,0,5.0,74.33034373659252,14866.068747318504,0.0,0,0,-1,,-1,
96636683,7328,25506,0,5.0,87.36704184073076,17473.408368146152,0.0,0,0,-1,,-1,
96636688,7231,25493,0,5.0,97.86725703727473,19573.451407454944,0.0,0,0,-1,,-1,
96636693,7125,25474,0,5.0,107.68936809174804,21537.873618349608,0.0,0,0,-1,,-1,
96636698,7029,25461,0,5.0,96.87620966986684,19375.241933973368,0.0,0,0,-1,,-1,
96636703,6952,25461,0,5.0,77.0,15400.0,0.0,0,0,-1,,-1,
96636708,6895,25446,0,5.0,58.9406481131655,11788.1296226331,0.0,0,0,-1,,-1,
96636712,6855,25437,0,4.0,41.0,10250.0,0.0,0,0,-1,,-1,
96636717,6858,25428,0,5.0,9.486832980505138,1897.3665961010277,0.0,0,0,-1,,-1,
96636722,6873,25419,0,5.0,17.4928556845359,3498.57113690718,0.0,0,0,-1,,-1,
96636727,6890,25411,0,5.0,18.788294228055936,3757.658845611187,0.0,0,0,-1,,-1,
96636732,6909,25411,0,5.0,19.0,3800.0,0.0,0,0,-1,,-1,
96636737,6903,25395,0,5.0,17.08800749063506,3417.6014981270123,0.0,0,0,-1,,-1,
96636742,6887,25379,0,5.0,22.627416997969522,4525.483399593904,0.0,0,0,-1,,-1,
96636747,6817,25362,0,5.0,72.03471385380801,14406.942770761603,0.0,0,0,-1,,-1,
96636752,6766,25345,0,5.0,53.75872022286245,10751.74404457249,0.0,0,0,-1,,-1,
96636757,6729,25329,0,5.0,40.311288741492746,8062.257748298549,0.0,0,0,-1,,-1,
96636762,6692,25313,0,5.0,40.311288741492746,8062.257748298549,0.0,0,0,-1,,-1,
96636767,6690,25299,0,5.0,14.142135623730951,2828.42712474619,0.0,0,0,-1,,-1,
96636772,6678,25287,0,5.0,16.97056274847714,3394.112549695428,0.0,0,0,-1,,-1,
96636777,6667,25276,0,5.0,15.556349186104045,3111.2698372208088,0.0,0,0,-1,,-1,
96636782,6656,25268,0,5.0,13.601470508735444,2720.294101747089,0.0,0,0,-1,,-1,
96636787,6646,25260,0,5.0,12.806248474865697,2561.2496949731394,0.0,0,0,-1,,-1,
96636792,6627,25255,0,5.0,19.6468827043885,3929.3765408777,0.0,0,0,-1,,-1,
96636797,6608,25251,0,5.0,19.4164878389476,3883.2975677895197,0.0,0,0,-1,,-1,
96636802,6592,25249,0,5.0,16.1245154965971,3224.9030993194197,0.0,0,0,-1,,-1,
96636807,6577,25249,0,5.0,15.0,3000.0,0.0,0,0,-1,,-1,
96636812,6564,25249,0,5.0,13.0,2600.0,0.0,0,0,-1,,-1,
96636817,6553,25249,0,5.0,11.0,2200.0,0.0,0,0,-1,,-1,
96636822,6546,25255,0,5.0,9.219544457292887,1843.9088914585773,0.0,0,0,-1,,-1,
96636827,6542,25265,0,5.0,10.770329614269007,2154.0659228538016,0.0,0,0,-1,,-1,
96636832,6542,25281,0,5.0,16.0,3200.0,0.0,0,0,-1,,-1,
96636837,6542,25304,0,5.0,23.0,4600.0,0.0,0,0,-1,,-1,
96636842,6542,25333,0,5.0,29.0,5800.0,0.0,0,0,-1,,-1,
96636847,6542,25367,0,5.0,34.0,6800.0,0.0,0,0,-1,,-1,
96636852,6547,25405,0,5.0,38.3275357934736,7665.50715869472,0.0,0,0,-1,,-1,
96636857,6551,25448,0,5.0,43.18564576337837,8637.129152675674,0.0,0,0,-1,,-1,
96636862,6554,25494,0,5.0,46.09772228646444,9219.544457292888,0.0,0,0,-1,,-1,
96636867,6559,25549,0,5.0,55.226805085936306,11045.36101718726,0.0,0,0,-1,,-1,
96636872,6559,25608,0,5.0,59.0,11800.0,0.0,0,0,-1,,-1,
96636877,6550,25677,0,5.0,69.58448102845921,13916.89620569184,0.0,0,0,-1,,-1,
96636882,6517,25752,0,5.0,81.93900170248598,16387.800340497197,0.0,0,0,-1,,-1,
96636886,6457,25832,0,4.0,100.0,25000.0,0.0,0,0,-1,,-1,
