start_time,end_time,start_idx,end_idx,duration_ms,type,mean_pressure,mean_speed,trial
0.0,0.547,0,110,547.0,pen_lift,0.0,10491.001310992293,0
0.554,0.574,112,116,19.999999999999908,low_speed,3476.4,0.0,0
2.16,2.245,435,452,84.99999999999997,pen_lift,0.0,10234.031897532866,0
2.249,2.264,454,457,14.99999999999968,low_speed,4853.5,1.1999816708318134e-10,0
2.97,3.109,599,627,138.9999999999998,pen_lift,0.0,8415.945372759421,0
0.0,0.338,0,68,338.0,pen_lift,0.0,4615.178830231571,1
2.521,2.665,507,536,144.0000000000001,pen_lift,0.0,11122.710554634485,1
2.671,2.7,538,544,29.00000000000036,low_speed,8174.571428571428,1.9283768289551607e-10,1
2.71,2.889,546,582,178.99999999999983,pen_lift,0.0,9984.776971483641,1
2.894,2.939,584,593,44.99999999999993,low_speed,10590.2,2.3426378175636827e-10,1
2.949,3.387,595,683,438.00000000000017,pen_lift,0.0,11652.936354726047,1
0.0,0.557,0,112,557.0,pen_lift,0.0,2768.15655108235,2
0.559,0.574,114,117,14.999999999999902,low_speed,4317.25,6.446280505855706e-10,2
1.057,1.166,214,236,108.99999999999999,pen_lift,0.0,,2
1.171,1.216,238,247,44.99999999999993,low_speed,7055.5,0.0,2
1.226,1.35,249,274,124.00000000000011,pen_lift,0.0,2404.241881914918,2
1.358,1.377,276,280,18.999999999999908,low_speed,7442.8,1.7462298274040222e-10,2
1.581,1.661,321,337,80.00000000000007,pen_lift,0.0,10100.208391161608,2
1.663,1.698,339,346,34.99999999999992,low_speed,6432.375,1.173212913024843e-10,2
2.668,2.827,541,573,158.9999999999998,pen_lift,0.0,13278.884349028689,2
2.833,2.873,575,583,40.000000000000036,low_speed,14559.222222222223,2.6666259351818076e-10,2
2.893,3.067,587,622,174.00000000000037,pen_lift,0.0,13212.731126198727,2
0.0,0.766,0,154,766.0,pen_lift,0.0,2154.280432610134,3
0.777,0.792,156,159,15.000000000000014,low_speed,3429.0,0.0,3
2.532,2.647,509,532,114.99999999999977,pen_lift,0.0,9467.069570628511,3
2.649,2.664,534,537,15.000000000000124,low_speed,11024.5,1.5926011707050434e-10,3
