Trial,RT_s,WritingDuration_s,TotalDuration_s,NumPauses,TotalPauseDuration_s,PauseRate_per_s,MeanPauseDuration_ms,MeanSpeed,MaxSpeed,SpeedSD,MeanAcceleration,MeanJerk,PathLength,StraightLine,Linearity,Width,Height,Area,MeanPressure,PressureSD,WritingEfficiency,SpatialEfficiency
0,0.549,2.416,3.109,5,0.806,2.07,161.2,8338.42,50300.0,5389.18,307310.09,31850421.26,25870.82,2846.02,0.11,7332,1165,8541780,10580.991,2033.436,0.666,0.11
1,0.344,2.6,3.387,6,1.173,2.308,195.5,7897.74,33600.0,6109.6,255962.83,25335550.03,26627.04,3478.6,0.131,5166,4917,25401222,10900.562,1880.349,0.549,0.131
2,0.558,2.33,3.067,11,1.357,4.721,123.36,7407.62,24747.02,5205.54,328156.3,43267543.08,22642.12,1481.48,0.065,5227,1681,8786587,12544.597,3229.141,0.418,0.065
3,0.772,1.947,2.997,5,1.184,2.568,236.8,6955.95,18521.88,4718.17,252803.48,23570488.09,20872.62,3596.51,0.172,4676,1643,7682668,11314.197,2425.418,0.392,0.172
4,0.472,3.298,3.919,6,0.994,1.819,165.67,8275.11,30231.6,4996.84,278610.26,24706644.73,32391.39,4366.69,0.135,7459,1462,10905058,11663.491,3410.718,0.699,0.135
5,0.67,3.556,4.36,7,1.242,1.969,177.43,7900.54,24240.46,5108.83,237479.97,18607030.62,34519.11,1819.6,0.053,6458,1614,10423212,10443.982,3502.252,0.651,0.053
6,0.634,2.19,2.919,4,0.876,1.826,219.0,7136.32,19513.33,4575.28,257221.25,23874571.47,20849.57,4465.03,0.214,5154,1394,7184676,12695.467,2705.701,0.6,0.214
7,0.547,2.464,3.168,5,0.957,2.029,191.4,7989.25,19677.56,4588.93,282414.76,25228912.87,25485.47,4210.5,0.165,5813,1878,10916814,13884.512,2561.99,0.612,0.165
8,0.442,2.776,3.323,6,1.086,2.161,181.0,8539.44,29807.85,5572.16,277631.0,28042021.83,28329.66,1026.82,0.036,5172,2448,12661056,14463.269,2423.943,0.609,0.036
9,0.42,3.009,3.529,6,0.955,1.994,159.17,7379.47,18893.91,4456.76,252234.6,19972615.05,26017.92,3711.07,0.143,6164,1430,8814520,12913.265,2397.159,0.683,0.143
10,0.525,4.197,5.378,9,1.786,2.144,198.44,7744.17,60752.37,6854.35,237521.12,19900142.13,41620.74,3428.21,0.082,7084,4570,32373880,12940.64,2665.097,0.574,0.082
11,0.624,3.002,4.446,5,1.625,1.666,325.0,7438.01,23359.58,4737.63,245984.01,21849238.17,31589.9,3080.6,0.098,6887,2348,16170676,12541.866,2475.691,0.459,0.098
12,0.264,2.604,3.41,5,0.93,1.92,186.0,7719.37,29300.17,4414.94,309510.5,34382189.96,26524.11,1764.91,0.067,5806,2243,13022858,13559.573,2927.553,0.643,0.067
