letter_id,idx1,idx2,t1,t2,duration_ms,path_length,straight_line,linearity,width,height,aspect_ratio,mean_speed,mean_pressure,direction,n_loops,label,trial
1,0,285,0.0,1.418,1418.0,1885.4970066546873,591.433850908113,0.31367530620345824,683,515,1.3262135922330096,1330.5212552069675,223.74825174825176,ascending,1,letter_1,1
2,285,412,1.418,2.049,631.0,1575.0126148597456,476.5427577877981,0.30256440697158105,572,560,1.0214285714285714,2490.8892408987113,10544.0234375,ascending,1,letter_2,1
3,412,640,2.049,3.177,1128.0,3529.9991698587082,675.7580928113255,0.19143293250076696,916,871,1.0516647531572905,,5584.061135371179,ascending,5,letter_3,1
4,640,853,3.177,4.23,1053.0000000000005,5694.930913977095,1025.9980506804095,0.1801598765952187,1179,1482,0.7955465587044535,5422.751431751565,6907.869158878505,descending,3,letter_4,1
5,853,955,4.23,4.738,508.0,1668.2731905841922,506.0770692295789,0.3033538344234627,564,607,0.929159802306425,3273.5172927201584,11186.0,descending,1,letter_5,1
6,955,1349,4.738,6.693,1954.999999999999,5378.958952772937,1041.2516506589557,0.19357865709723893,1092,1414,0.7722772277227723,2744.1523802091697,8346.706329113924,descending,3,letter_6,1
7,1349,1580,6.693,7.836,1143.0000000000007,6047.160514418491,1475.3718175429542,0.24397761792913633,1071,1314,0.815068493150685,5307.947340767929,10413.224137931034,descending,2,letter_7,1
1,0,539,0.0,3.558,3558.0,23488.843304114158,5751.507628439695,0.24486125408449963,5792,7595,0.7626069782751811,8132.941762121025,1.6296296296296295,ascending,3,letter_1,2
2,539,698,3.558,4.349,791.0000000000003,1693.3895141904054,657.5629247456094,0.38831167858033205,736,558,1.3189964157706093,2139.027371041593,6831.09375,descending,1,letter_2,2
3,698,800,4.349,4.856,506.99999999999966,1663.8774341540288,577.0025996475232,0.3467819130204688,633,556,1.1384892086330936,3267.772400156137,9807.640776699029,ascending,1,letter_3,2
4,800,1003,4.856,5.861,1004.9999999999999,4456.310784170419,826.9679558483509,0.18557232560751444,824,1348,0.6112759643916914,4449.778747655786,6417.931372549019,descending,2,letter_4,2
5,1003,1212,5.861,6.897,1036.0000000000005,4033.8809163256865,800.4954715674537,0.19844301013640123,773,526,1.4695817490494296,3910.838534492624,6843.066666666667,descending,3,letter_5,2
6,1212,1511,6.897,8.466,1568.999999999999,7223.362119406307,1088.7295348248801,0.15072337740065614,1795,1331,1.3486100676183321,3860.9636611751775,3722.1633333333334,ascending,3,letter_6,2
