start_time,end_time,start_idx,end_idx,duration_ms,type,mean_pressure,mean_speed,trial
0.0,1.71,0,344,1710.0,pen_lift,0.0,3135.9844970920717,0
1.722,1.757,346,353,34.99999999999992,low_speed,3655.125,4.0745362639427185e-10,0
1.772,1.797,356,361,24.99999999999991,low_speed,6442.5,4.656612873077393e-10,0
3.169,3.944,637,793,774.9999999999999,pen_lift,0.0,1692.7402298761951,0
3.947,3.992,795,804,44.99999999999993,low_speed,5789.3,7.066066783183402e-11,0
4.151,4.449,836,896,298.00000000000006,pen_lift,0.0,2186.3618139775826,0
4.458,4.498,898,906,40.000000000000036,low_speed,2873.6666666666665,0.0,0
4.891,5.239,985,1055,347.9999999999999,pen_lift,0.0,3389.179986231039,0
5.245,5.285,1058,1066,40.000000000000036,low_speed,4832.0,0.0,0
5.742,5.757,1158,1161,14.99999999999968,low_speed,10072.0,0.0,0
6.513,6.866,1313,1384,352.9999999999998,pen_lift,0.0,2916.6572367146237,0
6.872,6.912,1386,1394,40.000000000000036,low_speed,3206.3333333333335,2.5870071517096624e-11,0
7.866,8.254,1586,1664,387.9999999999999,pen_lift,0.0,2621.527521770714,0
8.258,8.303,1666,1675,45.000000000001705,low_speed,4845.0,1.1641532182693482e-11,0
9.317,9.555,1879,1927,237.99999999999955,mixed,14.693877551020408,4475.244369192815,0
9.564,9.604,1929,1937,39.99999999999915,low_speed,20360.777777777777,4.13921144273546e-10,0
9.664,10.061,1949,2029,397.0000000000002,mixed,63.4320987654321,6082.952327972221,0
0.0,1.352,0,272,1352.0,pen_lift,0.0,1349.876728630959,1
1.363,1.398,274,281,34.99999999999992,low_speed,4291.5,0.0,1
2.372,2.864,477,576,492.0,pen_lift,0.0,,1
2.869,2.914,578,587,44.99999999999993,low_speed,2983.2,1.1999816708318134e-10,1
3.55,3.948,715,795,398.0000000000001,pen_lift,0.0,5023.480292530886,1
3.952,3.987,797,804,35.00000000000014,low_speed,3279.125,1.2727412469736477e-10,1
5.145,5.205,1037,1049,60.0000000000005,low_speed,11382.23076923077,0.0,1
5.344,5.369,1077,1082,24.999999999999467,low_speed,9131.833333333334,0.0,1
5.409,6.0,1090,1209,591.0000000000002,pen_lift,0.0,3201.101372736555,1
6.007,6.047,1211,1219,40.000000000000036,low_speed,5157.444444444444,5.784723849500917e-11,1
6.226,6.256,1255,1261,30.00000000000025,low_speed,11657.57142857143,6.652304104396275e-11,1
6.445,6.47,1299,1304,24.999999999999467,low_speed,12674.333333333334,1.9402553637822468e-11,1
