Trial,RT_s,WritingDuration_s,TotalDuration_s,NumPauses,TotalPauseDuration_s,PauseRate_per_s,MeanPauseDuration_ms,MeanSpeed,MaxSpeed,SpeedSD,MeanAcceleration,MeanJerk,PathLength,StraightLine,Linearity,Width,Height,Area,MeanPressure,PressureSD,WritingEfficiency,SpatialEfficiency
0,1.717,7.947,10.061,17,4.832,2.139,284.24,3445.84,30100.0,3365.33,118108.57,14615771.6,34620.31,5179.7,0.15,6715.0,2318.0,15565370.0,10505.126,3098.175,0.392,0.15
1,1.358,6.239,7.836,14,3.566,2.244,254.71,3296.37,17154.88,3252.09,109607.5,13358923.28,25779.83,4124.91,0.16,4883.0,2096.0,10234768.0,11955.095,3707.147,0.428,0.16
2,,,,0,,,,,,,,,,,,,,,,,,
3,2.041,3.796,6.949,8,4.015,2.107,501.87,4353.44,43841.76,6045.05,127884.17,14831398.31,31483.33,4201.29,0.133,5751.0,5582.0,32102082.0,9602.102,2882.568,-0.058,0.133
4,0.759,5.57,7.075,11,3.099,1.975,281.73,5034.2,76832.87,7179.75,179065.11,22537872.96,35589.8,2703.55,0.076,4987.0,4711.0,23493757.0,10739.693,2970.913,0.444,0.076
5,1.249,6.976,8.568,15,3.654,2.15,243.6,4599.85,32984.85,3679.86,153455.74,18868826.72,39485.27,2062.21,0.052,6392.0,3435.0,21956520.0,10034.43,3253.353,0.476,0.052
6,5.484,4.972,11.247,11,7.876,2.212,716.0,3626.91,40510.0,5029.87,142151.09,16961819.51,40846.88,1867.74,0.046,3454.0,3566.0,12316964.0,9283.131,2941.28,-0.584,0.046
7,1.304,7.318,8.846,14,3.512,1.913,250.86,3828.22,36169.74,3793.44,135775.94,17474498.0,33763.14,5000.73,0.148,5877.0,2915.0,17131455.0,9645.039,2596.628,0.52,0.148
8,1.893,7.18,9.227,16,4.614,2.228,288.38,3698.36,30189.57,3785.9,116320.75,13414531.22,34137.63,2505.86,0.073,4845.0,2930.0,14195850.0,9718.735,2529.942,0.357,0.073
9,1.308,3.748,5.289,8,2.198,2.134,274.75,4065.44,29256.96,3924.85,118986.14,12651526.91,21520.37,949.46,0.044,2855.0,3320.0,9478600.0,8905.002,2739.106,0.414,0.044
10,1.284,7.86,9.492,14,3.494,1.781,249.57,3320.17,50228.68,3188.39,99644.22,10812666.46,31403.03,3605.23,0.115,5646.0,2206.0,12455076.0,9199.468,4461.784,0.555,0.115
11,1.582,5.26,7.254,13,3.196,2.471,245.85,4393.39,59154.46,6105.81,159796.07,16915204.75,31856.78,1366.02,0.043,4720.0,3898.0,18398560.0,10479.567,3583.077,0.392,0.043
12,1.599,5.745,7.757,12,3.923,2.089,326.92,4079.93,40131.91,3959.14,136433.61,17179547.37,31638.64,973.69,0.031,5069.0,3072.0,15571968.0,8672.566,2899.763,0.317,0.031
13,1.35,6.104,7.842,15,3.959,2.457,263.93,4754.43,63076.22,6307.99,177964.43,20705585.77,37384.77,1805.55,0.048,5370.0,3533.0,18972210.0,10523.132,3963.801,0.351,0.048
14,2.034,6.167,8.554,13,3.795,2.108,291.92,3555.95,46612.04,4011.92,115662.7,13435033.2,30389.62,1543.35,0.051,5361.0,3430.0,18388230.0,8950.927,3482.869,0.385,0.051
15,,,,0,,,,,,,,,,,,,,,,,,
16,0.769,18.148,19.091,27,9.965,1.488,369.07,2958.54,40199.13,3899.4,99642.54,11343591.4,58762.94,5144.44,0.088,6474.0,4974.0,32201676.0,8986.813,3526.936,0.451,0.088
17,1.734,3.031,5.069,8,2.912,2.639,364.0,5632.29,54435.37,6895.95,227072.13,26629348.79,28728.71,806.25,0.028,3881.0,2875.0,11157875.0,9361.236,2791.587,0.039,0.028
18,1.498,5.314,7.16,8,2.988,1.505,373.5,4125.7,37934.81,4187.45,121668.86,13754589.59,29391.64,3096.41,0.105,5763.0,2147.0,12373161.0,7816.163,3330.626,0.438,0.105
19,1.849,11.801,13.839,30,6.411,2.542,213.7,4348.48,42072.91,5335.79,153830.45,18795671.27,58349.26,2933.34,0.05,7769.0,2648.0,20572312.0,10070.645,3543.65,0.457,0.05
20,3.284,12.065,15.791,17,8.614,1.409,506.71,4293.1,43435.01,4584.07,137181.33,16585788.78,66011.21,4132.0,0.063,5599.0,6157.0,34473043.0,8474.992,3249.701,0.286,0.063
21,1.035,4.871,6.07,9,2.68,1.848,297.78,4066.94,33805.33,4165.45,123077.51,13723840.28,24651.66,2907.18,0.118,3862.0,2956.0,11416072.0,10977.966,3257.765,0.45,0.118
22,1.085,4.262,5.958,9,2.432,2.112,270.22,4068.67,57592.05,6341.19,138890.43,15668730.32,26224.45,698.15,0.027,6250.0,2019.0,12618750.0,9648.988,2879.737,0.429,0.027
23,1.428,4.911,6.747,10,3.407,2.036,340.7,3697.03,18613.17,3102.23,109785.68,12660088.85,25097.66,1096.4,0.044,4186.0,1852.0,7752472.0,8202.295,2762.115,0.306,0.044
24,1.195,9.266,10.72,15,4.899,1.619,326.6,4891.9,43963.33,5420.25,157951.63,18797002.67,52335.69,9144.07,0.175,8992.0,3939.0,35419488.0,8187.202,3142.82,0.471,0.175
25,1.601,3.519,5.592,10,3.122,2.842,312.2,5498.67,37406.42,5564.38,220607.34,26762269.3,30814.0,1352.02,0.044,4860.0,2266.0,11012760.0,7626.916,2468.0,0.113,0.044
26,1.051,4.286,5.993,12,2.938,2.8,244.83,4465.14,43345.7,5762.18,137077.56,15348088.48,26723.91,4924.81,0.184,3820.0,5733.0,21900060.0,7800.559,3026.898,0.315,0.184
27,1.173,4.168,5.634,10,2.961,2.399,296.1,3282.29,38862.32,3119.71,108819.98,11853996.1,18402.26,1875.2,0.102,3129.0,1377.0,4308633.0,8442.413,2235.439,0.29,0.102
28,3.485,4.222,8.081,9,4.66,2.132,517.78,4000.9,45035.1,4658.61,135659.01,16618304.24,35028.33,9754.13,0.278,10595.0,3134.0,33204730.0,9179.993,3544.724,-0.104,0.278
29,1.774,9.151,11.07,21,4.649,2.295,221.38,2493.6,17822.74,2725.42,82453.89,9164436.36,27658.79,2605.34,0.094,4989.0,1918.0,9568902.0,9957.793,3366.001,0.492,0.094
30,1.15,8.716,10.056,22,4.676,2.524,212.55,3930.06,32179.5,4340.54,123121.27,15419593.05,39677.65,2623.49,0.066,5878.0,2742.0,16117476.0,8659.6,3379.156,0.464,0.066
31,1.225,5.933,7.297,13,2.651,2.191,203.92,4144.17,28151.91,3665.62,137772.76,16236456.66,30306.54,1988.37,0.066,5547.0,1991.0,11044077.0,8822.888,3816.229,0.553,0.066
