start_time,end_time,start_idx,end_idx,duration_ms,type,mean_pressure,mean_speed,trial
0.0,0.75,0,151,750.0,pen_lift,0.0,2266.8899296028158,0
0.761,0.796,153,160,35.00000000000003,low_speed,4385.5,0.0,0
1.85,2.293,372,461,443.00000000000006,mixed,495.3222222222222,2738.081784163037,0
2.297,2.342,463,472,44.99999999999993,low_speed,2845.7,3.1141707002636025e-10,0
3.555,3.57,716,719,14.99999999999968,low_speed,25943.0,0.0,0
3.804,3.903,766,786,99.0000000000002,low_speed,21567.85714285714,4.4872159354521295e-10,0
3.943,4.027,794,811,84.00000000000007,low_speed,21312.11111111111,3.199951122218169e-10,0
4.425,4.44,891,894,15.000000000000568,low_speed,22194.0,0.0,0
4.684,5.116,943,1030,431.9999999999995,pen_lift,0.0,2692.3131077253975,0
5.12,5.165,1032,1041,44.99999999999993,low_speed,4140.5,1.260594828606838e-10,0
6.373,6.408,1284,1291,35.00000000000014,low_speed,21487.0,1.3015628661377063e-10,0
7.004,7.216,1411,1454,212.00000000000063,mixed,2125.9772727272725,3653.4436268075074,0
7.236,7.251,1458,1461,15.000000000000568,low_speed,17023.0,1.1641532182693481e-10,0
7.286,7.654,1468,1542,368.00000000000034,pen_lift,0.0,2463.346592084771,0
7.658,7.703,1544,1553,44.99999999999993,low_speed,3029.7,1.1641532182693482e-11,0
7.718,7.748,1556,1562,30.00000000000025,low_speed,8494.857142857143,1.330460820879255e-10,0
8.305,8.663,1674,1746,358.00000000000057,pen_lift,0.0,1644.1356843050405,0
8.666,8.711,1748,1757,44.99999999999993,low_speed,5739.7,4.663860628881789e-10,0
9.148,9.487,1845,1913,339.0000000000004,pen_lift,0.0,1263.6046532911528,0
9.491,9.536,1915,1924,44.99999999999993,low_speed,4705.6,3.292722539913596e-11,0
9.645,9.715,1946,1960,70.00000000000028,low_speed,15460.533333333333,0.0,0
9.73,9.79,1963,1975,59.99999999999872,low_speed,15712.846153846154,0.0,0
11.301,11.355,2279,2290,54.00000000000027,low_speed,22244.666666666668,7.761021455128987e-11,0
11.46,11.584,2311,2336,123.99999999999878,low_speed,21031.03846153846,5.065726984482456e-11,0
11.629,13.227,2345,2667,1598.0000000000007,mixed,56.8297213622291,810.5461411152655,0
13.525,13.55,2727,2732,25.000000000000355,low_speed,10564.0,0.0,0
13.699,13.744,2762,2771,44.99999999999993,low_speed,12313.8,0.0,0
13.769,13.784,2776,2779,15.000000000000568,low_speed,12457.0,1.7462298274040222e-10,0
14.152,14.931,2853,3011,778.9999999999999,mixed,321.52201257861634,1129.897892750167,0
15.055,18.798,3036,3789,3742.9999999999986,pen_lift,0.0,2417.0564193472355,0
0.0,1.888,0,305,1888.0,pen_lift,0.0,5783.666507155288,1
1.897,1.937,307,315,40.000000000000036,low_speed,2498.4444444444443,0.0,1
2.25,2.29,378,386,40.000000000000036,low_speed,10977.444444444445,0.0,1
2.514,2.708,431,470,194.0000000000004,pen_lift,0.0,2267.7046783935534,1
2.715,2.739,472,477,24.00000000000002,low_speed,5172.5,2.7641287793784327e-10,1
2.814,3.053,492,540,238.9999999999999,pen_lift,0.0,,1
3.058,3.103,542,551,45.00000000000037,low_speed,5454.9,1.3969838619232177e-10,1
3.411,3.759,613,683,347.9999999999999,pen_lift,0.0,4664.466936970666,1
3.763,3.808,685,694,44.99999999999993,low_speed,3500.3,1.6298145055770873e-10,1
3.927,4.022,718,737,95.0000000000002,low_speed,12802.25,1.5618754393652475e-10,1
4.037,4.32,740,797,283.00000000000034,pen_lift,0.0,2857.7763499062094,1
4.324,4.369,799,808,44.99999999999993,low_speed,4055.8,1.411315242948204e-10,1
4.498,4.871,834,909,373.0000000000002,pen_lift,0.0,2856.710775992955,1
4.877,4.917,911,919,40.000000000000036,low_speed,2009.3333333333333,1.034802860683865e-10,1
5.379,5.832,1012,1103,453.0000000000003,pen_lift,0.0,,1
5.837,5.882,1105,1114,44.99999999999993,low_speed,2940.1,0.0,1
6.737,6.966,1286,1332,229.00000000000009,pen_lift,0.0,3158.6272474712628,1
6.97,7.015,1334,1343,44.99999999999993,low_speed,7548.6,6.984919309616089e-11,1
7.03,7.333,1346,1407,302.99999999999994,pen_lift,0.0,3554.0611034646236,1
7.339,7.379,1409,1417,39.99999999999915,low_speed,5682.111111111111,0.0,1
7.921,8.637,1526,1670,716.0000000000002,pen_lift,0.0,1828.7857200814017,1
8.641,8.681,1672,1680,39.99999999999915,low_speed,4791.0,3.658580599903996e-11,1
9.447,9.476,1834,1840,29.00000000000169,low_speed,21657.0,1.9956912313188824e-10,1
9.69,10.018,1883,1949,328.0000000000012,pen_lift,0.0,2426.6406234491888,1
10.024,10.064,1951,1959,40.000000000000924,low_speed,15140.666666666666,0.0,1
10.188,12.86,1984,2519,2671.9999999999986,pen_lift,0.0,2721.085182913626,1
0.0,1.409,0,284,1409.0,mixed,93.83859649122807,2198.628579472216,2
1.767,1.797,356,362,30.00000000000003,low_speed,11602.714285714286,1.1641532182693481e-10,2
2.229,2.249,449,453,20.000000000000018,low_speed,14034.8,4.656612873077393e-11,2
3.442,3.76,693,757,317.9999999999996,pen_lift,0.0,3363.6391153106474,2
3.766,3.806,759,767,40.000000000000036,low_speed,5248.222222222223,1.034802860683865e-10,2
4.75,5.118,957,1031,368.00000000000034,pen_lift,0.0,1853.2222252665686,2
5.125,5.165,1033,1041,40.000000000000036,low_speed,6566.111111111111,0.0,2
6.497,6.542,1309,1318,44.99999999999993,low_speed,20231.4,0.0,2
7.78,8.078,1567,1627,297.99999999999915,pen_lift,0.0,,2
8.083,8.128,1629,1638,44.99999999999993,low_speed,3562.8,0.0,2
8.978,11.056,1809,2227,2077.9999999999995,pen_lift,0.0,3051.0062597870647,2
0.0,1.755,0,353,1755.0,pen_lift,0.0,4631.4018558327025,4
1.767,1.802,355,362,35.00000000000014,low_speed,2640.75,0.0,4
3.02,3.278,607,659,258.0,pen_lift,0.0,3476.3035103425013,4
3.281,3.326,661,670,44.99999999999993,low_speed,9783.2,2.6280974308923894e-10,4
3.361,3.381,677,681,19.999999999999574,low_speed,17553.2,1.9199706733309015e-10,4
3.405,3.888,686,783,483.0000000000001,pen_lift,0.0,,4
3.893,3.928,785,792,35.00000000000014,low_speed,2324.625,1.3015628661377063e-10,4
4.907,4.927,989,993,19.999999999999574,low_speed,25511.8,0.0,4
5.608,5.628,1130,1134,20.000000000000462,low_speed,18379.2,0.0,4
5.663,5.678,1141,1144,14.99999999999968,low_speed,18352.0,0.0,4
5.703,6.11,1149,1231,407.0,low_speed,18297.927710843374,1.9967426929527218e-11,4
6.125,6.205,1234,1250,80.00000000000007,low_speed,18373.176470588234,0.0,4
6.22,6.324,1253,1274,104.00000000000009,low_speed,18754.18181818182,1.0583211075175893e-11,4
7.129,8.307,1436,1673,1178.000000000001,pen_lift,0.0,,4
8.312,8.357,1675,1684,44.99999999999993,low_speed,1336.1,0.0,4
8.407,8.431,1694,1699,23.999999999999133,low_speed,3801.0,1.576089926067441e-10,4
8.506,10.479,1714,2111,1972.999999999999,pen_lift,0.0,667.8900663219051,4
10.487,10.527,2113,2121,39.99999999999915,low_speed,1402.7777777777778,2.3138895398003669e-10,4
10.542,10.562,2124,2128,19.999999999999574,low_speed,4247.8,1.8626451492309571e-10,4
11.347,11.382,2286,2293,35.00000000000014,low_speed,23006.0,0.0,4
12.068,12.242,2431,2466,174.00000000000125,pen_lift,0.0,2999.7689266331736,4
12.245,12.27,2468,2473,25.000000000000355,low_speed,7232.0,8.288774547513972e-11,4
12.364,12.687,2492,2557,322.99999999999864,pen_lift,0.0,2601.2069397390856,4
12.695,12.735,2559,2567,39.99999999999915,low_speed,4271.777777777777,1.034802860683865e-10,4
13.709,14.176,2763,2857,467.0000000000005,pen_lift,0.0,1914.1662641882422,4
14.18,14.225,2859,2868,44.99999999999993,low_speed,7646.2,1.1641532182693482e-11,4
14.424,18.729,2908,3643,4305.0,mixed,27.527173913043477,5037.358325553185,4
20.558,21.145,4011,4129,586.9999999999998,pen_lift,0.0,1702.067431883336,4
21.152,21.192,4131,4139,39.99999999999915,low_speed,3777.222222222222,0.0,4
21.888,22.102,4279,4322,213.99999999999864,pen_lift,0.0,,4
22.107,22.152,4324,4333,45.000000000001705,low_speed,5850.2,0.0,4
22.246,22.505,4352,4404,259.00000000000034,pen_lift,0.0,6072.910357708464,4
22.509,22.554,4406,4415,44.99999999999815,low_speed,7342.1,2.6031257322754128e-11,4
23.006,23.16,4506,4537,153.99999999999991,pen_lift,0.0,5869.098117011095,4
23.166,23.181,4539,4542,15.000000000000568,low_speed,7951.25,5.820766091346741e-11,4
23.28,23.36,4562,4578,79.9999999999983,pen_lift,0.0,1998.8594968041778,4
0.0,0.81,0,163,810.0,pen_lift,0.0,4992.9516049783615,5
0.821,0.856,165,172,35.00000000000003,low_speed,3517.125,0.0,5
0.906,0.921,182,185,15.000000000000014,low_speed,12553.0,0.0,5
2.566,2.834,516,570,268.0000000000002,pen_lift,0.0,3119.06383169982,5
2.84,2.88,572,580,40.000000000000036,low_speed,5413.555555555556,2.133300748145446e-10,5
3.432,3.481,691,701,48.99999999999993,low_speed,20906.454545454544,9.465911753728774e-11,5
4.5,4.863,906,979,363.00000000000045,pen_lift,0.0,,5
4.868,4.913,981,990,44.99999999999993,low_speed,6266.4,0.0,5
5.117,5.614,1031,1131,496.9999999999999,pen_lift,0.0,2938.3648087374336,5
5.618,5.663,1133,1142,44.99999999999993,low_speed,3591.6,2.6031257322754128e-11,5
6.209,6.239,1252,1258,30.00000000000025,low_speed,19086.85714285714,3.3261520521981374e-11,5
6.398,6.418,1290,1294,20.000000000000462,low_speed,22710.8,0.0,5
6.627,6.677,1336,1346,49.99999999999982,low_speed,19747.18181818182,0.0,5
6.731,6.776,1357,1366,44.99999999999993,low_speed,19164.8,4.656612873077393e-11,5
6.791,6.826,1369,1376,34.999999999999254,low_speed,18760.0,0.0,5
8.009,8.233,1614,1659,224.0000000000002,pen_lift,0.0,5247.554685839336,5
8.24,8.28,1661,1669,39.99999999999915,low_speed,6688.777777777777,0.0,5
8.369,8.464,1687,1706,95.00000000000064,pen_lift,0.0,16353.309445549578,5
0.0,1.259,0,142,1259.0,pen_lift,0.0,4723.710510915258,6
1.269,1.309,144,152,40.000000000000036,low_speed,3325.5555555555557,0.0,6
1.692,1.965,229,284,273.0000000000001,pen_lift,0.0,2762.1581286815126,6
1.972,2.002,286,292,29.999999999999805,low_speed,3297.0,8.520114145138002e-11,6
2.44,2.748,380,442,308.0000000000003,pen_lift,0.0,4425.05641654761,6
2.752,2.797,444,453,45.00000000000037,low_speed,4259.1,1.4179781879646412e-10,6
3.538,3.821,602,659,283.00000000000034,pen_lift,0.0,,6
