Trial,RT_s,WritingDuration_s,TotalDuration_s,NumPauses,TotalPauseDuration_s,PauseRate_per_s,MeanPauseDuration_ms,MeanSpeed,MaxSpeed,SpeedSD,MeanAcceleration,MeanJerk,PathLength,StraightLine,Linearity,Width,Height,Area,MeanPressure,PressureSD,WritingEfficiency,SpatialEfficiency
0,0.756,14.294,18.798,30,9.968,2.099,332.27,1873.5,21176.64,2071.97,55957.95,6903382.29,35277.33,750.09,0.021,5974.0,2414.0,14421236.0,15749.149,5357.22,0.303,0.021
1,1.892,8.291,12.86,26,8.639,3.136,332.27,3156.21,36739.62,3517.4,116338.91,15790501.95,40280.56,2512.92,0.062,5696.0,4900.0,27910400.0,13528.45,5785.292,-0.042,0.062
2,1.364,7.609,11.056,11,4.691,1.446,426.45,2457.7,11720.07,1986.57,70514.67,8125242.39,27200.05,1932.34,0.071,4691.0,1911.0,8964501.0,17395.631,5306.332,0.383,0.071
3,,,,0,,,,,,,,,,,,,,,,,,
4,1.762,21.513,23.36,36,13.41,1.673,372.5,2882.55,75838.75,4360.39,91068.16,11549188.15,68798.36,4191.09,0.061,4476.0,8509.0,38086284.0,15106.571,5081.015,0.377,0.061
5,0.816,7.548,8.464,18,2.706,2.385,150.33,3118.25,26931.39,3346.22,97516.77,11099082.47,26384.83,1549.0,0.059,4628.0,3143.0,14545804.0,17340.582,3914.429,0.641,0.059
6,1.264,5.38,7.926,12,3.843,2.23,320.25,3838.57,28516.32,3692.6,143321.82,16473669.22,31626.39,4888.39,0.155,5550.0,4409.0,24469950.0,16001.616,5571.384,0.286,0.155
7,2.038,12.817,21.024,40,11.569,3.121,289.23,3331.45,75308.03,4675.25,117676.43,13778888.67,72067.42,2717.91,0.038,6614.0,8251.0,54572114.0,15905.829,4901.481,0.097,0.038
8,2.203,7.728,10.014,14,6.424,1.812,458.86,2909.54,87817.99,5062.05,111825.95,13681887.14,28695.36,1810.17,0.063,4582.0,2529.0,11587878.0,16299.712,4681.706,0.169,0.063
9,0.457,9.992,10.528,33,4.085,3.303,123.79,3142.89,28817.53,3312.28,111900.85,14539259.3,32933.14,4352.98,0.132,5529.0,1745.0,9648105.0,16989.288,5226.002,0.591,0.132
10,0.577,4.315,4.932,10,1.804,2.317,180.4,3477.67,45468.78,3889.47,138944.92,16700422.8,17211.52,1713.79,0.1,2570.0,2486.0,6389020.0,17811.684,4351.683,0.582,0.1
11,1.984,4.221,7.806,12,4.87,2.843,405.83,4545.26,31800.63,5387.53,139018.51,16456633.85,34438.59,2585.44,0.075,5728.0,5077.0,29081056.0,17116.636,4614.692,-0.154,0.075
12,1.493,8.183,9.955,23,3.799,2.811,165.17,3485.13,32705.5,3791.85,114747.19,13897645.92,34631.28,8232.36,0.238,8162.0,3855.0,31464510.0,16720.248,5069.65,0.536,0.238
13,0.578,6.263,7.03,20,3.051,3.193,152.55,4690.72,29769.95,5097.41,163487.71,18955410.56,33012.95,8184.46,0.248,7912.0,5218.0,41284816.0,12889.168,4298.972,0.513,0.248
14,0.615,9.605,10.285,21,4.96,2.186,236.19,3010.79,29900.0,3077.83,111487.97,13563775.79,30958.3,3914.53,0.126,5166.0,1870.0,9660420.0,17539.88,6251.281,0.484,0.126
15,1.104,16.204,17.532,39,9.927,2.407,254.54,3602.76,43523.45,4475.05,121826.63,14803772.72,61829.57,1787.53,0.029,6571.0,5701.0,37461271.0,16158.12,4558.079,0.387,0.029
16,8.029,2.474,10.954,5,8.783,2.021,1756.6,2967.8,49697.99,5440.68,90536.36,11051546.56,32652.55,3322.11,0.102,4687.0,7421.0,34782227.0,14945.491,4608.583,-2.55,0.102
17,,,,0,,,,,,,,,,,,,,,,,,
18,0.865,8.205,10.785,25,5.068,3.047,202.72,4066.89,69410.37,7359.96,134449.07,16855292.89,45612.84,3479.95,0.076,8062.0,9262.0,74670244.0,17409.201,5286.785,0.382,0.076
19,2.91,5.603,8.635,13,3.585,2.32,275.77,2991.75,44104.61,3605.12,93208.6,10463496.33,26948.81,1802.26,0.067,4701.0,4250.0,19979250.0,14936.045,2370.397,0.36,0.067
20,1.085,11.372,12.704,34,7.178,2.99,211.12,5406.62,92417.58,9149.42,165871.41,21052860.45,67234.6,6252.52,0.093,9994.0,9168.0,91624992.0,17197.945,4794.726,0.369,0.093
