Trial,RT_s,WritingDuration_s,TotalDuration_s,NumPauses,TotalPauseDuration_s,PauseRate_per_s,MeanPauseDuration_ms,MeanSpeed,MaxSpeed,SpeedSD,MeanAcceleration,MeanJerk,PathLength,StraightLine,Linearity,Width,Height,Area,MeanPressure,PressureSD,WritingEfficiency,SpatialEfficiency
0,1.432,3.293,4.834,8,1.809,2.429,226.12,3643.0,23144.59,3202.43,118200.3,13812163.39,17478.6,2872.16,0.164,3242,1674,5427108,11004.795,2084.338,0.451,0.164
1,1.118,4.425,5.602,11,2.176,2.486,197.82,3611.33,30857.06,3291.96,110197.22,12444962.11,20270.39,1705.62,0.084,4188,2429,10172652,11715.525,2634.681,0.508,0.084
2,1.141,3.973,5.218,8,1.853,2.014,231.63,3097.96,18023.6,2656.91,97509.37,11622404.52,16159.71,3144.83,0.195,3103,2385,7400655,9571.113,2822.191,0.534,0.195
3,0.555,6.453,7.078,11,2.069,1.705,188.09,3655.83,36210.63,3621.75,115261.95,13013969.86,25954.16,5882.23,0.227,7072,1998,14129856,11207.468,3292.803,0.679,0.227
4,0.549,4.352,5.046,12,1.608,2.757,134.0,3244.22,18204.4,2604.59,114323.49,14205360.06,16311.53,3674.43,0.225,3716,1528,5678048,8701.68,2775.609,0.631,0.225
5,0.691,6.96,7.76,17,3.128,2.443,184.0,3957.67,18861.11,3260.85,139314.08,18708799.52,30509.25,3659.07,0.12,5357,2653,14212121,9452.609,3183.682,0.551,0.12
6,0.954,7.634,8.652,22,4.127,2.882,187.59,3395.52,17800.0,2779.8,116616.03,14575407.49,29826.9,3545.25,0.119,4514,3188,14390632,6600.15,2966.311,0.459,0.119
7,1.009,5.774,7.002,12,2.665,2.078,222.08,4433.15,38733.06,4842.08,152093.93,17695676.33,31070.82,6440.71,0.207,6318,4291,27110538,8380.941,2423.945,0.538,0.207
8,1.101,3.928,5.148,8,1.579,2.037,197.37,3350.76,20588.35,2397.94,107676.69,10347532.62,17108.68,4833.22,0.283,5277,1648,8696496,10409.58,2385.232,0.598,0.283
9,0.4,6.124,6.633,19,2.576,3.103,135.58,3304.68,22501.56,3068.47,123045.29,15967353.84,21888.02,4266.32,0.195,4248,1876,7969248,9918.036,3514.932,0.579,0.195
10,0.525,4.0,4.574,7,1.159,1.75,165.57,3815.07,38803.22,3500.01,138857.47,16112784.68,17442.95,3218.8,0.185,4169,3338,13916122,10057.049,2569.458,0.71,0.185
