Trial,RT_s,WritingDuration_s,TotalDuration_s,NumPauses,TotalPauseDuration_s,PauseRate_per_s,MeanPauseDuration_ms,MeanSpeed,MaxSpeed,SpeedSD,MeanAcceleration,MeanJerk,PathLength,StraightLine,Linearity,Width,Height,Area,MeanPressure,PressureSD,WritingEfficiency,SpatialEfficiency
0,0.754,6.048,7.03,12,3.187,1.984,265.58,4727.13,36532.86,5178.9,127973.85,14779903.67,33200.08,4793.23,0.144,4403,5361,23604483,17509.88,4174.19,0.473,0.144
1,0.888,4.725,5.737,8,1.601,1.693,200.13,5037.2,43312.93,4646.86,155799.19,13954192.81,28899.38,3321.58,0.115,4507,5431,24477517,16194.117,3527.022,0.661,0.115
2,1.398,8589939.499,8589941.16,14,3.508,0.0,250.57,3610.3,39324.32,4530.76,193030.24,34236564.89,17674.75,2803.97,0.159,2939,2212,6501068,15238.872,3632.567,1.0,0.159
3,0.823,4.101,5.123,11,1.763,2.682,160.27,5162.11,31793.5,4593.69,164560.07,17921113.71,26427.1,4952.49,0.187,3788,4970,18826360,17464.639,3354.757,0.57,0.187
4,0.459,6.974,7.528,13,3.804,1.864,292.62,6591.12,43916.03,6363.06,216637.88,26059677.63,38523.4,1884.6,0.049,2897,4946,14328562,17714.303,3481.396,0.455,0.049
5,0.605,2.399,3.099,8,1.023,3.335,127.88,6236.7,44401.8,7518.1,176160.9,19349063.78,19310.78,4304.32,0.223,2990,7075,21154250,19408.408,3100.546,0.574,0.223
6,0.844,4294972.049,4294972.978,16,4117019.115,0.0,257313694.69,3003.1,40222.63,4057.79,95062.47,10312016.34,17100.6,2176.03,0.127,3611,2443,8821673,17658.319,3696.146,0.041,0.127
7,0.816,4.207,5.133,11,1.685,2.615,153.18,4884.68,22135.27,4036.94,163617.53,17411462.51,24965.07,2930.18,0.117,4081,2992,12210352,16278.971,3297.168,0.599,0.117
8,1.254,5.657,7.229,14,3.428,2.475,244.86,3684.27,21124.87,3484.13,110022.79,11133234.91,26629.9,3828.35,0.144,4089,1630,6665070,16933.958,3811.795,0.394,0.144
9,0.532,2.466,3.112,6,0.958,2.433,159.67,6263.85,65397.66,8889.48,179567.63,18588413.97,19345.84,3847.74,0.199,3582,6110,21886020,19189.52,2973.095,0.612,0.199
10,0.646,3.639,4.394,10,1.626,2.748,162.6,6181.87,52985.26,7817.04,171802.1,16573026.92,27118.92,7880.58,0.291,5555,8005,44467775,22780.683,4471.359,0.553,0.291
11,1.12,6.095,7.324,19,2.653,3.117,139.63,3573.72,23666.76,3168.99,123493.62,16177376.43,25905.74,1741.1,0.067,4647,2058,9563526,20098.89,5083.58,0.565,0.067
12,0.471,5.186,5.978,13,1.67,2.507,128.46,3902.12,24120.74,3413.4,128633.96,14011128.22,23577.69,3311.35,0.14,4902,2400,11764800,19890.528,3910.37,0.678,0.14
13,1.249,5.627,7.089,14,3.314,2.488,236.71,4621.46,32811.01,4695.92,157539.09,18182774.46,33042.18,3192.16,0.097,4781,3213,15361353,19540.769,3528.486,0.411,0.097
14,0.561,6.787,7.442,17,1.758,2.505,103.41,3750.83,46515.05,4565.96,126438.58,12369578.1,28022.83,6010.98,0.215,5640,2477,13970280,21942.67,4149.922,0.741,0.215
15,0.914,3.932,5.035,9,1.896,2.289,210.67,5599.42,54783.67,6841.23,213537.59,25376885.47,28273.54,4409.16,0.156,4441,5081,22564721,17025.217,3377.721,0.518,0.156
16,1.024,5.412,6.54,16,2.185,2.956,136.56,6248.89,71035.77,8620.62,201801.34,21358715.22,40815.52,4026.63,0.099,5019,7835,39323865,18049.848,3536.072,0.596,0.099
17,0.622,3.835,4.581,11,1.521,2.868,138.27,4392.62,32222.35,4305.75,136810.53,13422962.53,20058.62,4151.73,0.207,5348,1831,9792188,18198.075,3506.569,0.603,0.207
18,0.681,5.051,6.313,13,2.459,2.574,189.15,4441.65,39685.01,5079.62,120197.12,12554348.58,28047.12,3774.57,0.135,5673,4554,25834842,20577.774,4669.862,0.513,0.135
19,0.447,0.537,1.143,3,0.636,5.587,212.0,5278.36,35078.79,6000.11,174385.64,18913458.65,6049.78,494.43,0.082,2271,947,2150637,16205.761,4045.89,-0.184,0.082
20,1.321,4.874,6.334,13,2.612,2.667,200.92,4884.46,47974.16,5759.53,154623.16,15877512.85,30842.55,2830.21,0.092,4568,2260,10323680,20211.145,4345.298,0.464,0.092
21,0.553,2.42,3.177,4,0.811,1.653,202.75,5877.51,27300.0,5396.33,176788.81,16378545.43,18688.58,4337.97,0.232,5006,3777,18907662,19603.168,2543.768,0.665,0.232
22,0.454,5.599,6.242,19,2.19,3.393,115.26,4432.17,45335.31,5295.03,144079.44,16672223.97,27590.01,7262.04,0.263,8522,1908,16259976,20090.832,3759.202,0.609,0.263
23,1.144,5.769,6.983,11,2.187,1.907,198.82,5650.93,63501.06,6337.44,174123.4,15934494.08,39433.59,2731.48,0.069,5679,5059,28730061,19366.727,4135.646,0.621,0.069
24,1.066,4.17,5.316,10,2.073,2.398,207.3,4663.76,17479.7,3783.0,163991.86,19474730.92,24709.39,4721.81,0.191,5016,1715,8602440,16707.507,3008.775,0.503,0.191
25,1.446,6.792,8.312,13,2.865,1.914,220.38,6041.4,61900.32,7361.72,184410.33,17683273.67,50197.11,2509.52,0.05,7065,8290,58568850,20262.001,4256.565,0.578,0.05
26,0.806,5.265,6.22,12,2.616,2.279,218.0,4372.83,37298.93,4752.2,148430.2,16542437.34,27282.96,5555.53,0.204,5209,5532,28816188,18932.804,4971.851,0.503,0.204
27,0.553,2.644,3.977,6,1.613,2.269,268.83,9148.77,76359.62,12444.14,294215.09,34167606.54,39339.22,7442.15,0.189,6252,6550,40950600,18291.294,3661.604,0.39,0.189
28,0.889,4.983,6.066,10,1.72,2.007,172.0,4243.55,34066.73,4716.79,121674.8,14518532.08,25440.46,4205.97,0.165,6276,2652,16643952,19287.06,3010.661,0.655,0.165
29,1.504,8589939.395,8589941.026,14,4309379.334,0.0,307812809.57,6482.54,54382.07,8403.21,198138.14,24773674.16,47116.4,4390.12,0.093,8276,11986,99196136,21414.663,4404.897,0.498,0.093
30,0.5,4.012,5.675,7,2.19,1.745,312.86,6647.19,46469.51,8162.41,191644.19,20803938.6,37685.37,4920.59,0.131,4683,6411,30022713,22515.103,4292.18,0.454,0.131
31,0.487,2.933,3.5,6,0.972,2.046,162.0,5952.86,57069.26,7119.9,184968.56,20336105.12,20823.61,3547.26,0.17,3767,4386,16522062,22463.573,5019.46,0.669,0.17
