start_time,end_time,start_idx,end_idx,duration_ms,type,mean_pressure,mean_speed,trial
0.0,3.122,0,628,3122.0,pen_lift,0.0,2297.4833714753445,0
3.131,3.171,630,638,40.000000000000036,low_speed,5758.666666666667,2.6666259351818076e-10,0
4.185,4.369,842,879,184.00000000000017,pen_lift,0.0,12692.88135853407,0
0.0,0.517,0,104,517.0,pen_lift,0.0,5260.0735473056875,1
0.526,0.566,106,114,39.99999999999992,low_speed,3428.6666666666665,2.5870071517096624e-11,1
1.843,1.958,371,394,114.99999999999999,pen_lift,0.0,,1
1.963,2.008,396,405,44.99999999999993,low_speed,14217.3,1.0477378964424134e-10,1
2.127,2.654,429,535,527.0000000000001,pen_lift,0.0,,1
2.659,2.704,537,546,45.00000000000037,low_speed,5494.8,2.7939677238464354e-10,1
3.086,3.449,623,696,363.0,pen_lift,0.0,9534.981532183725,1
0.0,1.258,0,253,1258.0,pen_lift,0.0,10539.369907253978,3
1.269,1.304,255,262,35.00000000000014,low_speed,4215.5,1.1641532182693481e-10,3
1.706,1.885,343,379,179.00000000000006,pen_lift,0.0,,3
1.89,1.935,381,390,45.00000000000015,low_speed,6035.8,0.0,3
3.496,3.511,704,707,15.000000000000124,low_speed,13366.0,2.399963341663627e-10,3
3.595,3.66,724,737,64.99999999999994,low_speed,13342.0,2.399963341663627e-10,3
3.739,3.784,753,762,44.99999999999993,low_speed,14046.0,2.399963341663627e-10,3
3.799,3.819,765,769,20.000000000000018,low_speed,13641.2,1.9199706733309015e-10,3
4.127,4.167,831,839,40.000000000000036,low_speed,16145.666666666666,2.5870071517096624e-11,3
5.032,5.678,1013,1143,645.9999999999999,pen_lift,0.0,1612.9821831775223,3
5.685,5.725,1145,1153,40.000000000000036,low_speed,14409.777777777777,0.0,3
5.764,5.784,1161,1165,19.999999999999574,low_speed,22656.4,9.599853366654508e-11,3
5.854,6.306,1179,1270,451.99999999999994,pen_lift,0.0,2958.4742278920135,3
6.31,6.355,1272,1281,45.00000000000082,low_speed,4051.0,1.416253515122975e-10,3
7.404,7.468,1492,1505,64.00000000000006,low_speed,18818.285714285714,7.1472701056272e-11,3
9.064,9.089,1826,1831,25.000000000000355,low_speed,21046.333333333332,0.0,3
9.133,9.158,1840,1845,25.000000000000355,low_speed,20985.0,3.8805107275644936e-11,3
9.337,9.402,1881,1894,64.9999999999995,low_speed,21043.285714285714,0.0,3
9.417,9.447,1897,1903,29.99999999999936,low_speed,21170.14285714286,0.0,3
9.462,9.68,1906,1950,217.99999999999997,low_speed,21028.022222222222,3.186890262437262e-11,3
9.785,10.951,1971,2206,1166.0000000000005,mixed,62.855932203389834,1483.9312103782268,3
11.811,11.913,2379,2398,102.00000000000031,pen_lift,0.0,1882.3298133789012,3
0.0,2.372,0,477,2372.0,pen_lift,0.0,7328.24847111317,4
2.378,2.418,479,487,40.000000000000036,low_speed,6085.888888888889,2.133300748145446e-10,4
2.468,2.482,497,500,14.000000000000234,low_speed,14074.0,3.8031074031072263e-10,4
2.801,2.835,564,571,33.99999999999981,low_speed,15106.375,1.987753302508386e-10,4
4.704,5.535,947,1114,831.0000000000005,pen_lift,0.0,2878.1906260864657,4
5.543,5.583,1116,1124,40.000000000000036,low_speed,2916.3333333333335,2.5870071517096624e-11,4
5.995,7.049,1207,1419,1054.0000000000002,pen_lift,0.0,4971.675249064547,4
7.052,7.097,1421,1430,45.00000000000082,low_speed,3244.3,9.331397911231848e-11,4
7.738,7.773,1559,1566,34.999999999999254,low_speed,14724.0,0.0,4
8.384,8.429,1689,1698,44.99999999999993,low_speed,15983.0,0.0,4
8.454,8.484,1703,1709,29.99999999999936,low_speed,16050.42857142857,0.0,4
8.687,8.717,1750,1756,30.000000000001137,low_speed,13814.0,0.0,4
9.319,9.378,1877,1889,58.999999999999275,low_speed,14321.076923076924,8.955024755918063e-12,4
10.0,10.044,2014,2023,44.00000000000048,low_speed,13351.6,2.3283064365386964e-11,4
10.691,11.397,2153,2295,705.9999999999995,pen_lift,0.0,3841.2528809032597,4
11.405,11.445,2297,2305,40.000000000000924,low_speed,5550.444444444444,0.0,4
11.634,11.927,2343,2402,292.99999999999926,pen_lift,0.0,4988.893047718204,4
0.0,1.282,0,258,1282.0,pen_lift,0.0,6716.472195443199,5
1.292,1.332,260,268,40.000000000000036,low_speed,6197.888888888889,0.0,5
1.347,1.366,271,275,19.000000000000128,low_speed,12709.4,1.61852984464817e-10,5
2.873,2.893,578,582,19.999999999999574,low_speed,17239.0,1.0412502929101651e-10,5
3.758,3.782,756,761,24.00000000000002,low_speed,15828.333333333334,2.2842042448358745e-10,5
5.363,5.403,1079,1087,39.99999999999915,low_speed,16458.555555555555,5.174014303419325e-11,5
5.796,7.202,1166,1449,1405.9999999999998,pen_lift,0.0,2689.909774949636,5
7.208,7.248,1451,1459,40.000000000000036,low_speed,15146.0,0.0,5
7.292,7.307,1468,1471,15.000000000000568,low_speed,22206.0,0.0,5
7.367,8.371,1483,1685,1004.0000000000005,pen_lift,0.0,2131.2836881180115,5
