Trial,RT_s,WritingDuration_s,TotalDuration_s,NumPauses,TotalPauseDuration_s,PauseRate_per_s,MeanPauseDuration_ms,MeanSpeed,MaxSpeed,SpeedSD,MeanAcceleration,MeanJerk,PathLength,StraightLine,Linearity,Width,Height,Area,MeanPressure,PressureSD,WritingEfficiency,SpatialEfficiency
0,3.126,1.054,4.369,3,3.346,2.846,1115.33,2535.53,27365.85,3877.6,81737.83,9228911.15,11135.44,2261.62,0.203,1685.0,2507.0,4224295.0,11881.554,2797.416,-2.175,0.203
1,0.521,2.56,3.449,7,1.652,2.734,236.0,4316.13,63231.01,5263.27,132787.58,14295075.05,14754.75,3597.49,0.244,3392.0,2811.0,9534912.0,9109.817,2722.055,0.355,0.244
2,,,,0,,,,,,,,,,,,,,,,,,
3,1.264,10.542,11.913,22,4.6,2.087,209.09,2754.81,80419.46,5088.54,101538.15,11018179.47,32948.8,4670.58,0.142,4765.0,4191.0,19970115.0,16372.209,4685.452,0.564,0.142
4,2.373,9.256,11.927,17,5.712,1.837,336.0,3632.09,30142.49,4060.27,108960.5,13689467.93,43461.33,3602.14,0.083,4944.0,4560.0,22544640.0,13790.479,3537.377,0.383,0.083
5,1.287,7.583,9.317,12,4.372,1.582,364.33,3236.64,36308.05,3445.24,94398.95,12018021.63,30009.48,3615.44,0.12,5222.0,4786.0,24992492.0,15440.257,3236.07,0.423,0.12
6,0.845,6.691,7.67,15,3.151,2.242,210.07,3817.43,48059.35,4921.25,124984.6,14526318.79,29271.69,5421.27,0.185,5340.0,6994.0,37347960.0,9682.662,3573.64,0.529,0.185
7,1.08,4.506,5.942,12,2.514,2.663,209.5,6321.18,63173.17,9213.46,188034.69,21200722.98,37695.79,9788.11,0.26,5028.0,11745.0,59053860.0,10260.595,3990.639,0.442,0.26
8,1.134,11.692,12.926,29,4.251,2.48,146.59,3067.16,39481.89,3925.0,91988.1,11382092.27,39663.28,5910.48,0.149,7528.0,5503.0,41426584.0,16016.003,3395.953,0.636,0.149
9,0.628,4.681,5.343,14,1.79,2.991,127.86,6361.01,51781.56,6557.34,216339.87,21682378.24,34051.35,5677.61,0.167,5063.0,5797.0,29350211.0,10617.819,3238.815,0.618,0.167
10,0.56,5.036,5.701,14,1.907,2.78,136.21,4316.78,42854.4,4691.19,174969.74,23910667.13,24587.45,6831.75,0.278,7068.0,2950.0,20850600.0,11630.51,3434.905,0.621,0.278
11,2.007,12.441,14.552,26,8.005,2.09,307.88,5426.47,72791.9,7436.76,167261.22,20294370.42,65048.44,7206.31,0.111,10425.0,6451.0,67251675.0,12580.886,3883.58,0.357,0.111
12,0.888,5.881,6.863,11,2.494,1.87,226.73,6264.46,42125.16,5155.66,209136.11,22942572.57,42922.39,4792.88,0.112,7224.0,3701.0,26736024.0,10412.377,3741.629,0.576,0.112
13,1.711,8.626,10.531,19,3.609,2.203,189.95,4881.11,62366.74,7734.57,136785.62,15245460.28,51390.35,7479.67,0.146,8976.0,12230.0,109776480.0,10852.319,3418.372,0.582,0.146
14,0.508,18.5,19.182,37,8.525,2.0,230.41,3936.98,46360.87,5650.41,123117.8,13845924.42,69034.2,4839.85,0.07,7603.0,9164.0,69673892.0,11671.987,3719.076,0.539,0.07
15,1.438,4.691,6.313,14,3.981,2.984,284.36,8249.69,55071.77,11029.32,260229.32,28941723.02,51967.8,9101.97,0.175,9016.0,8608.0,77609728.0,9730.349,4079.065,0.151,0.175
